title,url,author,price,currency,is_free,genre,thumbnail_url,thumbnail_path,scrape_date,listing_type,source_page
Love and Sex: Second Base - Lively World,https://andrealphus.itch.io/lw,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
That's not my Neighbor,https://nachogames.itch.io/thats-not-my-neighbor,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
"""Voices Of The Void"" Pre-Alpha",https://mrdrnose.itch.io/votv,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Sherwood (C64),https://psytronik.itch.io/sherwood,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Dwarf Eats Mountain,https://greenwizardgames.itch.io/dwarf-eats-mountain,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Love at The Milky Way Diner - Early Access,https://clumsycatstudio.itch.io/love-at-the-milky-way-diner,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
The Freak Circus,https://garula.itch.io/the-freak-circus,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Dead Trust,https://hexnut-studios.itch.io/dead-trust,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
14 Days With You [DEMO],https://cutiesai.itch.io/14dayswithyou,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
"The World Is Doomed Unless I Can Raise My Power Level to 1,000,000 and Confront the Demon Lord",https://reav.itch.io/demon-lord,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
ANATOMY,https://kittyhorrorshow.itch.io/anatomy,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Night of the Nun... aka Nun Massacre,https://puppetcombo.itch.io/nun-massacre,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Basilisk - 2000,https://akuma-kira.itch.io/basilisk-2000,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Blasters of the Universe VR Bullet Hell,https://secretlocation.itch.io/blasters-of-the-universe,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Express No.6,https://askgames.itch.io/express-no6,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Transpose,https://secretlocation.itch.io/transpose,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Grave Rogue 2 Game Boy,https://madsoxgames.itch.io/grave-rogue-2-game-boy,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Killer Chat! Overkill DLC,https://rosesrot.itch.io/killer-chat-overkill-dlc,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
NIGHT OF THE CONSUMERS,https://germfood.itch.io/nightoftheconsumers,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Musketeer (C64),https://psytronik.itch.io/musketeer,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Evolution,https://keiwan.itch.io/evolution,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Lancer Tactics,https://wick.itch.io/lancer-tactics,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
A Date with Death - Beyond the Bet DLC,https://twoandahalfstudios.itch.io/beyond-the-bet-dlc,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
The Choicer Voicer,https://yeahmaybe.itch.io/the-choicer-voicer,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Casualties: Unknown,https://orsonik.itch.io/scav-prototype,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
My Sweet! Housemate,https://sourmiiiilk.itch.io/my-sweet-housemate,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Criminally Yours,https://meant-to-bee-studios.itch.io/criminally-yours,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
The Not-Deer Stew,https://roawrvideostore.itch.io/the-not-deer-stew,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
The Trial of Kharzoid,https://theoldgamemaker.itch.io/the-trial-of-kharzoid,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Fear Assessment,https://alexander-wiseman.itch.io/fear-assessment,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
WolfQuest,https://eduweb.itch.io/wolfquest,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Repurpose,https://residentrabbit.itch.io/repurpose,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Angeline Era,https://han-tani.itch.io/angeline-era,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
[DLC] Bloody Painter Dating Sim - Valentine,https://delucat.itch.io/bloody-painter-dating-sim-dlc-valentines-day,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
CorgiSpace,https://finji.itch.io/corgispace,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
Lonely Christmas,https://askgames.itch.io/lonely-christmas,,Free,,True,,,,2025-12-18,top_sellers,top-sellers
